apple.com,17.178.96.59
wordpress.com,192.0.78.9
amazon.com,72.21.215.232
hao123.com,123.125.114.224
windows.com,134.170.185.46
ebay.com,66.211.160.87
fc2.com,54.187.152.49
sohu.com,123.125.116.19
tmall.com,110.75.115.70
paypal.com,66.211.169.66
orkut.com.br,74.125.192.87
about.com,207.241.148.80
yahoo.co.jp,183.79.135.206
pps.tv,58.83.190.154
tudou.com,123.126.98.147
rakuten.co.jp,133.237.48.124
bbc.co.uk,212.58.246.104
myspace.com,216.178.46.224
goo.ne.jp,218.213.142.230
cnet.com,64.30.224.118
go.com,199.181.131.249
56.com,59.32.213.232
xunlei.com,163.177.79.253
orkut.com,74.125.192.87
ameblo.jp,180.233.142.129
4shared.com,208.88.224.137
amazon.co.jp,54.240.252.0
linkedin.com,216.52.242.86
flickr.com,69.147.76.173
imdb.com,72.21.210.29
ku6.com,122.11.45.243
naver.com,202.131.30.12
skype.com,91.190.216.21
hotmail.com,65.55.77.28
yandex.ru,213.180.204.11
aol.com,205.188.100.58
craigslist.org,208.82.238.129
weather.com,96.8.84.132
alibaba.com,205.204.96.36
mail.ru,94.100.180.201
renren.com,220.181.181.224
blogger.com,74.125.192.191
dailymotion.com,195.8.215.136
answers.com,67.196.156.65
4399.com,115.182.52.231
livedoor.jp,125.6.149.67
sogou.com,180.149.156.70
vkontakte.ru,95.213.4.243
photobucket.com,209.17.80.100
rapidshare.com,144.76.0.3
360.cn,106.120.167.66
facebook.com,173.252.120.6
youtube.com,74.125.192.136
yahoo.com,98.138.253.109
ehow.com,23.227.2.46
live.com,65.55.206.154
mediafire.com,205.196.120.13
daum.net,110.45.215.23
baidu.com,220.181.111.85
microsoft.com,134.170.185.46
qq.com,125.39.240.113
blogspot.com,74.125.192.191
msn.com,23.101.196.141
wikipedia.org,198.35.26.96
taobao.com,110.75.115.70
bing.com,204.79.197.200
ask.com,66.235.120.127
163.com,123.58.180.8
adobe.com,192.150.16.117
7k7k.com,115.182.59.33
twitter.com,199.59.148.82
seesaa.net,59.106.98.139
andysayler.com,162.243.49.20
mozilla.com,63.245.217.194
wmfo.org,23.92.21.128
sdjjdsaf.com,
soso.com,220.181.124.154
sina.com.cn,202.108.33.60
softonic.com,46.28.209.20
cnn.com,157.166.226.25
youku.com,202.102.81.234
imageshack.us,208.94.0.193
zynga.com,184.75.170.150
mywebsearch.com,74.113.237.48
hp.com,15.193.176.227
walmart.com,161.170.244.20
nifty.com,210.131.4.217
ebay.de,66.135.211.132
paipai.com,112.90.77.176
partypoker.com,83.231.239.70
hotfile.com,
kugou.com,183.61.119.254
youdao.com,61.135.218.27
jp.msn.com,23.101.196.141
qiyi.com,202.108.14.15
odnoklassniki.ru,217.20.147.94
2345.com,42.62.30.180
alipay.com,110.75.143.33
ifeng.com,210.51.19.61
soku.com,220.181.52.35
pconline.com.cn,219.136.245.40
tianya.cn,124.225.135.222
megaupload.com,
